Year,GDP (current US$),Industry (% of GDP),Manufacturing (% of GDP),Foreign direct investment (% of GDP),Energy use (kg of oil equivalent per capita),Access to clean fuels and technologies for cooking,Energy imports (% of energy use),Population growth rate,GNI per capita,Electric power consumption (kWh per capita),Access to electricity (% of population),Electric power transmission and distribution losses (% of output),Fossil fuel energy consumption (% of total),Urban population (% of total),"Population, total",Individuals using the Internet (% of population),Mobile cellular subscriptions (per 100 people),PM2.5 air pollution (micrograms per cubic meter),Demand (TWh),Country
2011,59977326085.9908,31.2916488307023,19.721311969926,4.20127651183029,289.844135409639,10.9,-58.2463682570112,0.803379211413432,1040,159.288317925885,54.1,20.2269963518443,20.8796747008265,29.075,49419820,0.98,2.497501633,29.4854398392347,7872.000000000009,Myanmar
2012,59937796648.2158,32.3730207966326,20.0923540449082,2.22540068514517,314.155765526187,13.1,-46.2835353583934,0.841507088171189,1170,160.943239346575,55.3,25.2609019754007,26.9294381626906,29.266,49837446,1.4,7.426825561,33.179223857355,8021.000000000007,Myanmar
2013,60269732854.827,32.3622196006021,19.9159137514953,3.74085607932619,330.502139381487,15.3,-39.8198016411833,0.849578652965248,1260,191.235409794683,56.5,21.5154731771046,30.7299531252145,29.457,50262658,1.8,13.48984154,35.1664986630794,9612.000000000002,Myanmar
2014,65531374199.6742,34.4897147952284,19.9307583033683,3.31904421407349,380.985920856459,18.0,-32.9707940690214,0.830118073348831,1260,222.092286921925,52.0,20.4916295825387,44.2898952399838,29.65,50681634,7.4,56.83954844,31.2218892689358,11255.999999999989,Myanmar
2015,59607290407.5944,34.4688212621645,20.8081418827965,6.85124098711179,,20.9,,0.800670952631538,1230,,60.5,,,29.858,51089056,10.9,79.62426697,29.9150539220144,,Myanmar
2016,63298361996.2153,34.8095048832944,22.7953506749618,5.17880132517466,,24.3,,0.792792538685626,1230,,55.6,,,30.082,51495696,16.0,97.48338233,31.1703866445543,,Myanmar
2017,66053040483.0016,36.8009211203558,24.0940353438783,7.27335555212816,,27.9,,0.772302033467657,1230,,69.8,,,30.322,51894938,23.6211,91.69666523,28.1336717956987,,Myanmar
2018,67860515989.517,36.9634615021809,24.9118739981676,2.60563229851106,,31.9,,0.72443284342539,1310,,66.1,,,30.579,52272247,33.7204,116.0975729,31.5559916967562,,Myanmar
2019,75065106227.6892,38.4126110918443,25.3200721248355,2.31211211194364,,36.1,,0.702425162747352,1380,,68.3,,,30.852,52640713,48.1377,154.4969145,32.1642279603857,,Myanmar
2020,79006113643.1906,37.5439155484288,25.4520380861397,,,40.75,,0.711376906349628,1320,,70.4,,,31.141,53016522,41.95429049,147.0303762,32.3150340028667,,Myanmar
2021,66345291160.1683,37.3108899934826,25.6374529176866,,,45.9,,0.696558038955431,1240,,72.5,,,31.448,53387102,44.02167324,126.2686102,,,Myanmar
2022,62253049891.6449,38.2471357653023,25.559555440961,,,50.7,,0.690074759264932,1290,,73.7,,,31.771,53756787,,106.6964737,,,Myanmar
